Constituency,State,Leading Candidate,Leading Party
Agiaon (195),Bihar,SHIV PRAKASH RANJAN,Communist Party of India  (Marxist-Leninist)  (Liberation)
Vijapur (26),Gujarat,DR. C. J. CHAVDA,Bharatiya Janata Party
Porbandar (83),Gujarat,ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party
Manavadar (85),Gujarat,ARVINDBHAI JINABHAI LADANI,Bharatiya Janata Party
Khambhat (108),Gujarat,CHIRAGKUMAR ARVINDBHAI PATEL,Bharatiya Janata Party
Vaghodia (136),Gujarat,DHARMENDRASINH VAGHELA (BAPU),Bharatiya Janata Party
KARNAL (21),Haryana,NAYAB SINGH,Bharatiya Janata Party
DHARAMSHALA (18),Himachal Pradesh,SUDHIR SHARMA,Bharatiya Janata Party
LAHAUL & SPITI (21),Himachal Pradesh,ANURADHA RANA,Indian National Congress
SUJANPUR (37),Himachal Pradesh,CAPTAIN RANJIT SINGH,Indian National Congress
BARSAR (39),Himachal Pradesh,INDER DUTT LAKHANPAL,Bharatiya Janata Party
GAGRET (42),Himachal Pradesh,RAKESH KALIA,Indian National Congress
KUTLEHAR (45),Himachal Pradesh,VIVEK SHARMA (VICKU),Indian National Congress
Gandey (31),Jharkhand,KALPANA MURMU SOREN,Jharkhand Mukti Morcha
Shorapur (36),Karnataka,RAJA VENUGOPAL NAIK,Indian National Congress
BAGIDORA  (165),Rajasthan,JAIKRISHN PATEL,Bharat Adivasi Party
Vilavancode (233),Tamil Nadu,THARAHAI CUTHBERT,Indian National Congress
Secunderabad Cantt (71),Telangana,SRIGANESH,Indian National Congress
Ramnagar (7),Tripura,DIPAK MAJUMDER,Bharatiya Janata Party
Dadraul (136),Uttar Pradesh,ARVIND KUMAR SINGH,Bharatiya Janata Party
Lucknow East (173),Uttar Pradesh,O. P. SRIVASTAVA,Bharatiya Janata Party
Gainsari (292),Uttar Pradesh,RAKESH KUMAR YADAV,Samajwadi Party
Duddhi  (403),Uttar Pradesh,VIJAY SINGH,Samajwadi Party
Bhagabangola (62),West Bengal,REYAT HOSSAIN SARKAR,All India Trinamool Congress
Baranagar (113),West Bengal,SAYANTIKA BANERJEE,All India Trinamool Congress
